Alt Cat Number;Other Remarks;Family;Genus;Species;Subspecies;Author name;Scientific name;GBIF checked scientific name;Determiner;Collector;Number;Locality;Date;Parsed date DD-MM-YYYY;Date range;Attachment
212;201 ;Cyclanthaceae;;;;Carludovica. atrovirens.;  Carludovica. atrovirens.;;;;;P;"1909;21/7 1917";"00-00-1909;21-07-1917";;212.tif
212;;Cyclanthaceae;;carludovica;;Drudei.; carludovica Drudei.;Carludovica sartorii;;Hjalmar Jensen.;;"Java;Buitenzorg";29/8 1902;29-08-1902;;212.2.tif
4197-1;"Identified by G. Harling and cited by ;him in his Monograph of The Family ";Cyclanthaceae;Carludovica;drudei;;Marc.;Carludovica drudei Marc.;Carludovica drudei;;;;Cyclanthacee;;;;4197-1.tif
7302;Hj. Jensen. ;Cyclanthaceae;;carludovica;;macropora. Hort. bot. Bogor.; carludovica macropora. Hort. bot. Bogor.;Carludovica sartorii;;;;;3-VI-1905;03-06-1905;;7302.tif
7303;;Cyclanthaceae;;;;Hort.bot, Bogor. HJ. Jensen.;  Hort.bot, Bogor. HJ. Jensen.;;;;;;;;;7303.tif
;"; ’ 
213 
Carludovica palmata (?). 
Rio Janeiro. Ø 
Glaziou. é | 
ded. Warming. 
";Cyclanthaceae;;;;;;;;;;;;;;Cyclanthaceae_image10_page6.tif
214;"Botan. garden, Port of Spain. ;Warmings Rejse til Vest-Ind. og ";Cyclanthaceae;;carludovica;;palmata.; carludovica palmata.;Carludovica sartorii;;;;Venezuela;;;1891/92;214.tif
215;Buitenzorg, Java. 29/8 1902, ;Cyclanthaceae;;;;Carludovica. pumila,;  Carludovica. pumila,;;;Hjalmar Jensen.;;;;;;215.tif
215;"2, ;Ruiz & Pavon. ;Rio Janeiro. ";Cyclanthaceae;;carludovica;;palmata; carludovica palmata;Carludovica sartorii;;;;;;;;215.2.tif
216;"H. De He 14-401, ;0.G. Petersen. ";Cyclanthaceae;;carludovica;;rotundifolia.; carludovica rotundifolia.;Carludovica sartorii;;;;;;;;216.tif
217;"Rio de Janeiro. ;ded. Warming 27-IV-82.. ";Cyclanthaceae;;carludovica;sp. ;; carludovica ;Carludovica sartorii;;Glaziou;;;;;;217.tif
218;"Carludovica. 7? ;Rio de Janeiro. Sendt til Warming ;af Dr. A. Glaziou. ";Cyclanthaceae;;;;;;;;;;;;;;218.tif
219;"Rio Janeiro. ;Glaz1iou. ;ded. Warming 27-IV-1832. ";Cyclanthaceae;;;;Carludovica. sp.;  Carludovica. sp.;;;;;;;;;219.tif
220;;Cyclanthaceae;;carludovica;;; carludovica ;Carludovica sartorii;;;;;;;;220.tif
220;"Rio de Janelro. ;ded Warming 27-IV-32. ";Cyclanthaceae;;carludovica;;SDe; carludovica SDe;Carludovica sartorii;;;;Glaziou;;;;220.2.tif
221;"Rio Janeiro. ;27-IV-82. ;ded. Warming. ";Cyclanthaceae;;carludovica;sp. ;; carludovica ;Carludovica sartorii;;;;Glaziou;;;;221.tif
4197-2;"Identified by G. Harling and cited by ;him in his Monograph of the Family ";Cyclanthaceae;;carludovica;sp. ;; carludovica ;Carludovica sartorii;;;;Cyveclanthacee;;;;4197-2.tif
;"(5938 0 30% 
Carludovica. | 
Venezuela, Co 1/7-1871. 
Eggers. 
";Cyclanthaceae;;;;;;;;;;;;;;Cyclanthaceae_image10_page18.tif
;"? Cyclanthaceae 219 — 1 
Rio de Janeiro leg. Glaziou 
";Cyclanthaceae;;;;;;;;;;;;;;Cyclanthaceae_image10_page19.tif
